chave_data,data,ano,mes,dia,nome_dia_semana,fim_de_semana,trimestre,alta_temporada,feriado,nome_feriado
20170602,2017-06-02,2017,6,2,Sexta-feira,0,2,0,0,
20170603,2017-06-03,2017,6,3,Sábado,1,2,0,0,
20170604,2017-06-04,2017,6,4,Domingo,1,2,0,0,
20170605,2017-06-05,2017,6,5,Segunda-feira,0,2,0,0,
20170606,2017-06-06,2017,6,6,Terça-feira,0,2,0,0,
20170607,2017-06-07,2017,6,7,Quarta-feira,0,2,0,0,
20170608,2017-06-08,2017,6,8,Quinta-feira,0,2,0,0,
20170609,2017-06-09,2017,6,9,Sexta-feira,0,2,0,0,
20170610,2017-06-10,2017,6,10,Sábado,1,2,0,0,
20170611,2017-06-11,2017,6,11,Domingo,1,2,0,0,
20170612,2017-06-12,2017,6,12,Segunda-feira,0,2,0,0,
20170613,2017-06-13,2017,6,13,Terça-feira,0,2,0,0,
20170614,2017-06-14,2017,6,14,Quarta-feira,0,2,0,0,
20170615,2017-06-15,2017,6,15,Quinta-feira,0,2,0,1,Corpus Christi
20170616,2017-06-16,2017,6,16,Sexta-feira,0,2,0,0,
20170617,2017-06-17,2017,6,17,Sábado,1,2,0,0,
20170618,2017-06-18,2017,6,18,Domingo,1,2,0,0,
20170619,2017-06-19,2017,6,19,Segunda-feira,0,2,0,0,
20170620,2017-06-20,2017,6,20,Terça-feira,0,2,0,0,
20170621,2017-06-21,2017,6,21,Quarta-feira,0,2,0,0,
20170622,2017-06-22,2017,6,22,Quinta-feira,0,2,0,0,
20170623,2017-06-23,2017,6,23,Sexta-feira,0,2,0,0,
20170624,2017-06-24,2017,6,24,Sábado,1,2,0,0,
20170625,2017-06-25,2017,6,25,Domingo,1,2,0,0,
20170626,2017-06-26,2017,6,26,Segunda-feira,0,2,0,0,
20170627,2017-06-27,2017,6,27,Terça-feira,0,2,0,0,
20170628,2017-06-28,2017,6,28,Quarta-feira,0,2,0,0,
20170629,2017-06-29,2017,6,29,Quinta-feira,0,2,0,0,
20170630,2017-06-30,2017,6,30,Sexta-feira,0,2,0,0,
20170701,2017-07-01,2017,7,1,Sábado,1,3,1,0,
20170702,2017-07-02,2017,7,2,Domingo,1,3,1,0,
20170703,2017-07-03,2017,7,3,Segunda-feira,0,3,1,0,
20170704,2017-07-04,2017,7,4,Terça-feira,0,3,1,0,
20170705,2017-07-05,2017,7,5,Quarta-feira,0,3,1,0,
20170706,2017-07-06,2017,7,6,Quinta-feira,0,3,1,0,
20170707,2017-07-07,2017,7,7,Sexta-feira,0,3,1,0,
20170708,2017-07-08,2017,7,8,Sábado,1,3,1,0,
20170709,2017-07-09,2017,7,9,Domingo,1,3,1,0,
20170710,2017-07-10,2017,7,10,Segunda-feira,0,3,1,0,
20170711,2017-07-11,2017,7,11,Terça-feira,0,3,1,0,
20170712,2017-07-12,2017,7,12,Quarta-feira,0,3,1,0,
20170713,2017-07-13,2017,7,13,Quinta-feira,0,3,1,0,
20170714,2017-07-14,2017,7,14,Sexta-feira,0,3,1,0,
20170715,2017-07-15,2017,7,15,Sábado,1,3,1,0,
20170716,2017-07-16,2017,7,16,Domingo,1,3,1,0,
20170717,2017-07-17,2017,7,17,Segunda-feira,0,3,1,0,
20170718,2017-07-18,2017,7,18,Terça-feira,0,3,1,0,
20170719,2017-07-19,2017,7,19,Quarta-feira,0,3,1,0,
20170720,2017-07-20,2017,7,20,Quinta-feira,0,3,1,0,
20170721,2017-07-21,2017,7,21,Sexta-feira,0,3,1,0,
20170722,2017-07-22,2017,7,22,Sábado,1,3,1,0,
20170723,2017-07-23,2017,7,23,Domingo,1,3,1,0,
20170724,2017-07-24,2017,7,24,Segunda-feira,0,3,1,0,
20170725,2017-07-25,2017,7,25,Terça-feira,0,3,1,0,
20170726,2017-07-26,2017,7,26,Quarta-feira,0,3,1,0,
20170727,2017-07-27,2017,7,27,Quinta-feira,0,3,1,0,
20170728,2017-07-28,2017,7,28,Sexta-feira,0,3,1,0,
20170729,2017-07-29,2017,7,29,Sábado,1,3,1,0,
20170730,2017-07-30,2017,7,30,Domingo,1,3,1,0,
20170731,2017-07-31,2017,7,31,Segunda-feira,0,3,1,0,
20170801,2017-08-01,2017,8,1,Terça-feira,0,3,0,0,
20170802,2017-08-02,2017,8,2,Quarta-feira,0,3,0,0,
20170803,2017-08-03,2017,8,3,Quinta-feira,0,3,0,0,
20170804,2017-08-04,2017,8,4,Sexta-feira,0,3,0,0,
20170805,2017-08-05,2017,8,5,Sábado,1,3,0,0,
20170806,2017-08-06,2017,8,6,Domingo,1,3,0,0,
20170807,2017-08-07,2017,8,7,Segunda-feira,0,3,0,0,
20170808,2017-08-08,2017,8,8,Terça-feira,0,3,0,0,
20170809,2017-08-09,2017,8,9,Quarta-feira,0,3,0,0,
20170810,2017-08-10,2017,8,10,Quinta-feira,0,3,0,0,
20170811,2017-08-11,2017,8,11,Sexta-feira,0,3,0,0,
20170812,2017-08-12,2017,8,12,Sábado,1,3,0,0,
20170813,2017-08-13,2017,8,13,Domingo,1,3,0,0,
20170814,2017-08-14,2017,8,14,Segunda-feira,0,3,0,0,
20170815,2017-08-15,2017,8,15,Terça-feira,0,3,0,0,
20170816,2017-08-16,2017,8,16,Quarta-feira,0,3,0,0,
20170817,2017-08-17,2017,8,17,Quinta-feira,0,3,0,0,
20170818,2017-08-18,2017,8,18,Sexta-feira,0,3,0,0,
